SourceClass,Position,newVariable,id_number,html_url,refactoring type
MyFile ,,,573643,https://bugs.eclipse.org/bugs/show_bug.cgi?id=573643,extract local variable
Test,i,j,377288,https://bugs.eclipse.org/bugs/show_bug.cgi?id=377288,extract local variable
main,"""""""
    abc
    defg
    lksjkljsd
    """""";",abc,551002,https://bugs.eclipse.org/bugs/show_bug.cgi?id=551002,Extract Local Variable;Extract Constant;Inline Method
,,,69450,https://bugs.eclipse.org/bugs/show_bug.cgi?id=69450,Extract local variable
Bug ,valueOf("X"),,243101,https://bugs.eclipse.org/bugs/show_bug.cgi?id=243101,extract variable
testFoo,a[i],j,48231,https://bugs.eclipse.org/bugs/show_bug.cgi?id=48231,extract local variable
Bug,key,foo,102018,https://bugs.eclipse.org/bugs/show_bug.cgi?id=102018,119700
Bug ,asList(side),,108115,https://bugs.eclipse.org/bugs/show_bug.cgi?id=108115,extract local variable
test ,al.get(0),,93541,https://bugs.eclipse.org/bugs/show_bug.cgi?id=93541,"Extract Local Variable;Extract Constant;Introduce
Parameter;Extract Method"
A, method(),,72178,https://bugs.eclipse.org/bugs/show_bug.cgi?id=72178,extract local variable
class ,new inner(),,87483,https://bugs.eclipse.org/bugs/show_bug.cgi?id=87483,extract local variable
,,,1136,https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/1136,Extract to local Variable
,Lines[i],x,432,https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/432,Extract Local Variable
,txt.length(),length ,39,https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/39,Extract Variable
,((Integer) obj).intValue(),value ,331,https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/331,Extract Variable
,foo("Format warning"),foo,348,https://github.com/eclipse-jdt/eclipse.jdt.ui/issues/348,Extract Local Variable
B,super,a,340915,https://youtrack.jetbrains.com/issue/IDEA-340915/Bug-Extract-local-variables-causes-syntax-errors,extract local variable
,,,274500,https://youtrack.jetbrains.com/issue/IDEA-274500/Errors-when-extracting-constants-as-nested-enum,extract variable as enum
Test,subject.getSubject2().getVal(),,124349,https://youtrack.jetbrains.com/issue/IDEA-124349/Extract-Parameter-refactoring-fails-for-nested-calls,extract parameter
,,,108187,https://youtrack.jetbrains.com/issue/IDEA-108187/Extract-Parameter-Object-creates-wrong-Javadoc,extract parameter
,"Arrays.asList(X.a, Y.a)",,136958,https://youtrack.jetbrains.com/issue/IDEA-136958/Extract-variable-does-not-work-for-list-of-enums-that-implement-a-particular-type,extract variable
,,,138033,https://youtrack.jetbrains.com/issue/IDEA-138033/ExtractParameterObject-refactoring-changing-parameters-to-extract-default-names-produces-invalid-code-in-case-of-new-class,extract parameter
A,System.out.println(),,138895,https://youtrack.jetbrains.com/issue/IDEA-138895/Extract-Function-Parameter-produces-incorrect-code-when-invoked-from-anonymous-class,extract parameter
B,super(a),,138745,https://youtrack.jetbrains.com/issue/IDEA-138745/Replace-method-duplicate-failed-for-constructor,extract parameter
Test,text.length() - 1,i,142361,https://youtrack.jetbrains.com/issue/IDEA-142361/Extract-Variable-in-lambda-expression-fails,extract variable
,,,90322,https://youtrack.jetbrains.com/issue/IDEA-90322/Cannot-use-Extract-Variable-inside-string-containing-injected-language,extract variable
LambdaTest,method.getReturnType(),,146250,https://youtrack.jetbrains.com/issue/IDEA-146250/Refactoring-variable-out-of-lambda-expression-places-variable-outside-of-the-lambda,extract variable
ExtractVariableSample,s.hashCode(),,117252,https://youtrack.jetbrains.com/issue/IDEA-117252/Extract-variable-bug,extract variable
P,sout(aClass);,,152098,https://youtrack.jetbrains.com/issue/IDEA-152098/Extract-parameter-object-when-existing-class-used-replaces-parameters-with-wrong-getters,extract parameter object
bar.getMessage(),bar.getMessage(),,134349,https://youtrack.jetbrains.com/issue/IDEA-134349/Create-Local-Variable-does-not-make-variable-final-though-selected-and-required,extract variable
X,"""extract me""",different,135083,https://youtrack.jetbrains.com/issue/IDEA-135083/Extract-variable-from-expression-lambda-and-changing-name-breaks-code,extract variable
,x + 1,x,153667,https://youtrack.jetbrains.com/issue/IDEA-153667/Reassing-to-existing-variable-not-removing-final-modifier,extract variable
,list.get(i),,88758,https://youtrack.jetbrains.com/issue/IDEA-88758/Dont-extract-variable-where-its-impossible,extract variable
foo,f.getName().endsWith(".java"),b,91122,https://youtrack.jetbrains.com/issue/IDEA-91122/JDK-1.8-Extract-Variable-Refactoring-applied-to-one-line-expression-lambda-code-that-references-lambda-parameters-adds-new,extract variable
,,,147503,https://youtrack.jetbrains.com/issue/IDEA-147503/Extract-variable-is-paranoid-when-it-comes-to-array-indices,extract variable
A,1,y,7295,https://github.com/apache/netbeans/issues/7295,Extract local variables
ExtractVariableTest,a,a1,7293,https://github.com/apache/netbeans/issues/7293,Extract local variables 
OriginalClass?,arrs[a],locarVar,7294,https://github.com/apache/netbeans/issues/7294,Extract local variables
OrginalClass?,super,newVar,7291,https://github.com/apache/netbeans/issues/7291,Extract local variables
ExtractVariableTest?,5,localVar,7292,https://github.com/apache/netbeans/issues/7292,Extract local variables
